,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,24,7,2,1,0,1,4,0,0,0,0,0,0,0,0,0,1,7,2,0
true_1,0,23,7,5,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
true_2,0,2,20,11,7,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0
true_3,0,1,1,39,2,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0
true_4,0,0,6,6,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
true_5,0,1,1,3,0,7,2,0,0,0,0,0,0,0,0,0,0,1,0,0
true_6,0,0,2,3,2,1,34,0,0,0,0,0,0,0,0,0,0,1,0,0
true_7,1,0,0,0,0,0,0,48,0,2,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,1,2,33,13,0,0,0,0,0,0,0,0,2,0
true_9,0,0,0,0,0,0,0,10,1,40,0,0,0,0,0,0,0,0,0,0
true_10,0,0,1,6,0,1,4,1,0,0,27,0,0,0,0,0,2,3,2,3
true_11,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,4,0,0
true_12,0,0,0,2,1,0,3,0,0,0,0,0,28,5,0,0,2,1,2,6
true_13,0,0,0,0,0,1,0,0,0,0,0,0,2,42,2,0,0,0,0,0
true_14,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35,1,10,0,0,0
true_15,0,0,0,0,0,0,2,1,0,0,3,0,0,0,1,31,3,5,2,2
true_16,0,2,0,4,1,0,3,0,0,0,0,0,1,2,0,1,34,4,2,0
true_17,0,0,1,4,4,0,4,3,0,0,0,0,0,0,0,0,3,29,0,2
true_18,0,0,3,12,6,1,7,1,0,0,1,0,0,0,0,0,1,9,6,4
true_19,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,44
