,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,191,12,6,2,2,0,1,1,0,0,1,0,1,0,0,0,1,14,13,3
true_1,44,82,24,35,1,1,0,0,0,0,0,0,0,0,0,0,4,2,5,1
true_2,17,12,86,56,32,4,22,0,0,0,0,0,0,0,0,0,1,3,13,1
true_3,4,9,21,170,8,1,6,0,0,0,0,0,1,0,0,1,1,12,14,1
true_4,0,0,45,20,148,1,15,0,0,0,1,0,1,0,0,0,0,8,10,2
true_5,6,1,16,2,0,17,7,0,0,0,0,0,3,0,0,0,1,4,16,1
true_6,5,0,34,11,8,5,129,0,0,0,0,1,0,0,0,1,0,9,11,1
true_7,5,0,0,0,1,0,0,208,9,17,0,2,1,0,0,1,1,8,2,0
true_8,1,0,0,0,0,0,0,7,210,36,0,1,0,0,0,0,0,0,0,0
true_9,1,0,0,0,0,0,1,46,61,140,2,0,0,1,0,0,0,2,0,0
true_10,9,0,0,10,2,0,3,1,2,0,126,9,1,0,0,25,5,11,36,10
true_11,0,0,0,0,0,0,3,2,2,0,2,38,1,0,0,2,0,8,1,0
true_12,1,0,0,2,1,0,1,0,0,0,0,2,192,16,2,4,3,5,16,4
true_13,1,0,0,0,0,1,0,0,0,0,0,0,19,178,24,0,3,2,3,0
true_14,0,0,0,0,0,0,1,0,0,0,0,0,0,4,238,1,4,1,0,0
true_15,2,0,0,1,0,0,1,0,1,0,6,1,5,0,3,201,6,9,10,7
true_16,3,3,0,3,4,2,1,1,1,1,1,1,4,10,25,17,152,27,8,6
true_17,10,0,3,14,4,2,6,7,3,0,8,7,3,0,0,2,14,150,16,1
true_18,16,2,16,21,15,4,11,2,4,1,11,3,9,0,1,9,6,27,72,21
true_19,1,0,2,4,1,0,2,0,0,0,6,0,4,0,0,7,1,5,34,186
