,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,36,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,3,3,0
true_1,1,31,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
true_2,2,6,20,5,4,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0
true_3,1,3,13,26,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0
true_4,0,0,11,3,28,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1
true_5,0,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0
true_6,0,0,4,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,1,0,1,1,0
true_8,0,0,0,0,0,0,0,4,40,5,0,0,0,0,0,0,0,2,0,0
true_9,0,0,0,0,0,0,0,20,11,19,0,0,0,0,0,0,0,1,0,0
true_10,0,0,1,1,0,0,4,0,0,0,26,2,0,0,0,4,0,1,10,1
true_11,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0,3,0,0
true_12,0,0,0,0,0,0,2,0,0,0,0,1,27,3,0,3,4,3,6,1
true_13,0,0,0,0,0,1,0,0,0,0,0,0,3,39,2,0,0,1,1,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,3,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,2,0,2,0
true_16,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,4,33,6,4,0
true_17,0,0,2,2,0,0,4,2,0,0,0,0,0,0,0,0,2,32,4,2
true_18,0,0,3,3,7,0,10,0,0,0,0,0,0,0,0,3,1,7,13,4
true_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,42
