,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,26,5,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,4,4,1
true_1,2,23,4,7,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
true_2,0,4,17,8,10,1,8,0,0,0,0,0,0,0,0,0,0,0,1,0
true_3,0,2,2,32,3,0,6,0,0,0,0,0,0,0,0,0,0,2,1,1
true_4,0,0,11,2,31,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1
true_5,0,0,2,2,0,3,2,0,0,0,0,0,1,0,0,0,0,1,4,0
true_6,0,0,2,1,0,1,37,0,0,0,0,0,0,0,0,0,0,1,1,0
true_7,0,0,0,0,1,0,0,47,0,0,0,0,0,0,0,2,1,0,0,0
true_8,0,0,0,0,0,0,0,6,36,6,0,0,0,0,0,0,0,2,1,0
true_9,0,0,0,0,1,0,2,19,4,24,0,0,0,0,0,0,0,1,0,0
true_10,0,0,1,2,0,0,1,1,0,0,32,0,0,0,0,5,0,1,5,2
true_11,0,0,1,0,0,0,3,2,0,0,0,3,0,0,0,2,0,1,0,0
true_12,0,0,0,1,0,0,3,0,0,0,0,0,31,0,0,3,2,2,2,6
true_13,0,0,0,0,0,1,0,0,0,0,0,0,4,38,1,0,2,0,0,1
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,33,1,8,1,0,0
true_15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,44,1,0,0,3
true_16,0,0,2,1,1,0,3,0,0,0,0,0,1,3,0,2,29,6,3,3
true_17,1,0,4,5,1,0,2,5,0,0,2,0,0,0,0,1,2,23,2,2
true_18,0,0,2,4,7,1,8,0,0,0,1,0,0,1,0,2,0,6,13,6
true_19,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,46
