,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,36,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,1
true_1,5,15,10,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,1,4,10,10,14,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
true_3,0,1,7,25,7,0,5,1,0,0,0,0,0,0,0,0,0,2,1,0
true_4,0,0,5,5,35,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
true_5,1,1,3,1,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0
true_6,0,1,1,1,5,2,31,0,0,0,0,0,0,0,0,0,0,2,0,0
true_7,1,1,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
true_8,0,0,0,0,0,0,1,2,44,3,0,0,0,0,0,0,0,1,0,0
true_9,0,0,0,0,0,0,0,13,11,27,0,0,0,0,0,0,0,0,0,0
true_10,0,0,0,2,0,0,1,1,0,0,38,0,0,0,0,4,0,2,1,1
true_11,0,0,0,0,0,0,1,1,0,0,2,5,0,1,0,0,0,2,0,0
true_12,0,0,0,0,1,0,0,0,0,0,0,0,43,1,0,0,0,3,2,0
true_13,0,0,0,1,0,0,0,0,0,0,0,0,5,38,0,1,0,2,0,0
true_14,0,0,0,1,0,0,0,0,0,0,0,0,0,10,34,2,2,0,0,0
true_15,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,46,0,1,0,0
true_16,0,2,1,3,1,1,0,0,0,0,0,0,1,1,1,6,28,6,1,2
true_17,0,0,0,6,5,1,1,4,1,0,1,0,0,0,0,0,3,25,0,3
true_18,0,0,1,8,5,4,6,0,1,0,3,0,2,1,0,1,1,8,4,6
true_19,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,1,0,45
