,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,193,13,6,3,3,0,5,2,1,0,3,2,0,0,0,1,2,3,10,1
true_1,27,117,25,17,3,1,0,0,0,0,1,0,0,0,0,0,1,2,5,0
true_2,7,28,101,27,28,7,30,0,0,0,1,1,1,0,0,1,0,0,15,0
true_3,6,18,49,129,12,3,10,0,0,0,2,0,1,0,0,1,1,4,13,0
true_4,0,0,41,11,164,0,13,0,0,0,3,0,0,0,0,0,1,4,13,1
true_5,5,2,11,6,1,27,6,0,0,0,2,0,2,0,0,0,1,3,8,0
true_6,0,1,17,9,12,2,151,0,0,0,2,4,0,0,0,0,1,3,13,0
true_7,5,0,1,0,0,0,0,201,7,28,3,4,0,0,0,0,1,5,0,0
true_8,0,0,0,0,1,0,0,4,198,40,1,4,0,0,0,1,1,4,1,0
true_9,1,1,0,0,0,0,2,31,35,182,1,0,0,0,0,0,1,0,0,0
true_10,4,1,4,3,0,0,5,3,1,1,178,8,0,0,0,9,3,6,24,0
true_11,0,0,0,0,0,1,3,2,0,0,5,38,0,0,0,0,3,4,3,0
true_12,2,0,1,2,1,3,3,1,0,0,2,4,201,13,0,2,6,1,7,0
true_13,2,0,0,0,0,0,0,0,0,0,0,0,21,178,20,0,8,2,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,229,3,7,0,0,0
true_15,0,0,0,0,0,0,1,1,1,0,26,4,4,0,1,198,6,4,6,1
true_16,2,5,2,4,5,0,3,5,0,0,6,4,4,16,22,8,159,15,5,5
true_17,15,2,3,12,7,1,8,7,5,1,11,7,2,2,0,1,19,122,23,2
true_18,16,6,15,20,13,11,10,1,0,1,32,8,13,0,1,4,2,11,71,16
true_19,0,0,2,5,6,2,2,3,0,0,15,0,6,0,0,2,4,0,26,180
