,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,189,19,6,1,1,8,2,0,0,0,0,1,0,0,0,2,0,3,12,4
true_1,39,91,31,20,1,8,1,0,0,0,1,0,0,0,0,0,2,0,5,0
true_2,18,13,73,36,41,24,24,0,0,0,0,0,0,0,0,1,0,4,13,0
true_3,5,8,44,128,11,12,11,1,0,1,0,0,0,0,0,2,0,11,13,2
true_4,1,1,38,8,173,2,10,0,0,0,1,0,1,0,0,1,1,3,11,0
true_5,6,1,8,3,2,31,5,0,0,0,1,0,3,0,0,0,0,0,11,2
true_6,4,1,19,4,17,11,143,2,1,0,0,1,0,0,0,0,0,3,8,1
true_7,4,1,0,0,0,0,0,219,4,14,6,4,0,0,0,0,1,0,2,0
true_8,1,0,0,0,0,0,1,5,209,36,1,0,0,0,0,1,0,1,0,0
true_9,1,0,0,0,0,0,1,60,44,145,0,1,0,0,0,0,0,1,1,0
true_10,3,0,0,6,5,2,4,1,2,1,148,14,2,0,0,20,3,4,29,6
true_11,3,0,0,0,0,1,0,5,2,2,7,30,3,0,0,1,0,2,3,0
true_12,1,0,1,1,1,1,1,1,0,0,0,0,215,12,1,0,3,5,5,1
true_13,0,0,0,0,0,2,0,0,0,0,0,0,23,190,11,0,4,1,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,7,231,4,7,0,0,0
true_15,1,0,0,0,0,1,0,0,0,0,16,0,6,0,2,211,5,5,5,1
true_16,6,0,1,4,7,4,2,3,2,0,6,2,8,14,20,13,151,16,7,3
true_17,12,2,5,17,4,2,6,10,6,1,12,6,3,0,1,3,13,110,33,4
true_18,17,8,12,13,13,17,15,6,2,1,16,5,14,0,1,6,5,15,65,20
true_19,2,2,1,3,4,2,1,2,0,0,13,0,5,0,1,6,1,0,28,182
