,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,41,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0
true_1,17,12,4,2,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
true_2,6,4,18,2,13,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0
true_3,5,3,11,18,3,3,1,0,0,0,3,0,0,0,0,0,0,1,1,0
true_4,0,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
true_5,2,1,0,1,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0
true_6,0,0,6,1,5,3,20,0,0,0,0,4,1,0,0,1,0,1,1,0
true_7,2,0,0,0,0,0,0,43,0,2,0,2,0,0,0,2,0,0,0,0
true_8,0,0,0,0,0,0,0,1,37,12,0,0,0,0,0,0,0,1,0,0
true_9,0,0,0,0,0,0,0,11,3,37,0,0,0,0,0,0,0,0,0,0
true_10,0,0,0,0,1,0,0,0,1,0,31,8,1,0,0,5,0,1,1,1
true_11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,2,0,0
true_12,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
true_13,0,0,0,0,0,1,0,0,0,0,0,0,10,28,7,0,0,1,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,46,1,1,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,43,0,4,0,0
true_16,0,2,2,1,0,0,0,0,0,0,0,2,2,1,4,6,30,4,0,0
true_17,3,0,0,5,2,1,0,1,1,0,0,4,1,0,0,1,3,25,1,2
true_18,1,0,0,4,6,3,3,0,1,0,3,2,5,0,0,1,2,4,11,5
true_19,0,0,0,0,1,0,0,0,0,0,3,0,4,0,0,3,2,1,1,36
