,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,38,3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,2,1,0,0
true_1,9,21,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,1,5,16,4,16,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
true_3,1,9,12,8,10,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0
true_4,0,0,7,1,39,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
true_5,1,2,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0
true_6,1,1,4,0,8,6,20,0,0,0,0,3,0,0,0,0,0,0,0,0
true_7,2,0,0,0,1,0,0,40,1,3,0,3,0,0,0,1,0,0,0,0
true_8,0,0,0,0,0,0,0,2,37,12,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,11,4,36,0,0,0,0,0,0,0,0,0,0
true_10,0,0,0,0,1,1,1,2,0,1,27,10,1,0,0,5,0,0,0,1
true_11,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,1,0,1,0,0
true_12,0,0,0,0,0,1,0,0,0,0,0,0,48,0,0,0,0,1,0,0
true_13,0,0,0,0,0,1,0,0,0,0,0,0,9,31,5,0,1,0,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,1,0,0,0
true_15,0,0,0,0,1,0,0,2,0,1,5,3,1,0,0,36,0,0,1,0
true_16,0,2,0,1,4,2,2,0,0,0,0,1,2,2,2,5,26,4,1,0
true_17,0,0,0,5,4,3,2,4,1,0,1,7,1,0,0,1,3,17,0,1
true_18,1,1,1,5,5,12,4,3,1,0,3,1,5,0,1,0,0,1,3,4
true_19,0,1,0,1,2,0,0,2,0,0,0,0,5,0,0,5,0,0,0,35
