,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,35,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0
true_1,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
true_2,0,11,22,5,4,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0
true_3,0,9,5,26,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0
true_4,0,3,13,3,28,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
true_5,1,1,1,1,0,8,0,0,0,0,1,0,1,0,0,0,0,1,0,0
true_6,1,2,5,2,0,2,26,0,0,0,0,0,0,0,0,0,0,1,4,0
true_7,0,1,0,0,0,0,0,42,0,5,0,1,0,0,0,1,0,0,1,0
true_8,0,0,0,0,0,0,0,1,42,6,0,0,0,0,0,0,0,1,1,0
true_9,0,0,0,0,0,0,0,3,9,39,0,0,0,0,0,0,0,0,0,0
true_10,1,0,1,1,0,0,0,0,0,0,39,0,0,0,0,0,0,0,8,0
true_11,0,0,0,0,0,0,1,1,0,0,1,8,0,0,0,0,0,1,0,0
true_12,0,0,0,1,0,0,0,0,0,0,0,0,40,6,0,0,1,0,2,0
true_13,0,1,0,0,0,0,0,0,0,0,0,0,2,43,1,0,0,0,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,43,1,0,2,0
true_16,0,2,0,0,0,1,0,0,0,0,0,0,3,4,4,3,30,3,4,0
true_17,2,1,0,5,0,1,0,3,2,0,1,0,0,1,0,0,4,22,8,0
true_18,0,0,3,3,2,1,3,0,0,0,4,0,1,2,0,0,1,1,29,1
true_19,0,1,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,1,15,28
