,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,186,18,3,1,1,4,3,3,0,0,4,1,0,0,0,0,0,7,13,4
true_1,27,122,17,20,1,1,4,0,1,0,0,0,0,0,0,0,2,2,2,0
true_2,5,20,92,47,30,16,16,0,0,0,4,0,0,0,0,0,0,3,14,0
true_3,3,16,25,145,5,3,8,0,0,0,6,0,2,0,0,1,4,8,20,3
true_4,2,0,34,12,169,3,14,0,0,1,3,0,0,0,0,0,0,5,6,2
true_5,3,2,13,4,0,34,2,0,0,0,1,0,3,0,0,0,1,7,4,0
true_6,2,0,18,8,6,7,159,0,0,0,2,2,1,0,0,1,0,2,6,1
true_7,5,0,0,0,0,0,0,187,6,41,4,5,0,0,0,0,2,3,2,0
true_8,1,0,0,0,0,0,0,4,219,29,1,0,0,0,0,1,0,0,0,0
true_9,0,0,0,0,1,0,1,27,41,182,1,0,0,0,0,0,0,1,0,0
true_10,0,0,3,0,1,0,2,0,0,0,209,6,0,0,0,11,0,2,11,5
true_11,1,0,0,0,0,0,2,2,3,1,9,35,1,0,0,1,1,3,0,0
true_12,1,1,0,1,0,2,1,0,0,0,0,0,216,19,2,0,1,2,2,1
true_13,0,0,0,0,0,1,0,0,0,0,0,0,18,206,3,0,1,2,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,238,1,6,0,0,0
true_15,0,0,0,1,1,0,0,1,0,0,17,1,2,0,1,214,7,2,4,2
true_16,2,4,0,1,4,2,0,1,1,0,4,0,3,11,18,9,189,12,5,4
true_17,9,2,0,16,4,6,4,6,4,2,10,7,3,0,0,3,10,138,25,1
true_18,11,5,13,21,5,12,13,2,1,2,24,0,11,1,1,5,8,25,77,14
true_19,1,0,0,3,1,0,1,0,0,0,9,0,4,0,0,1,4,1,33,195
