,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,212,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,1
true_1,22,149,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
true_2,7,14,138,38,17,9,16,0,0,0,0,0,1,0,0,0,0,1,6,0
true_3,0,15,31,177,1,0,3,0,0,0,1,1,0,0,0,0,0,5,15,0
true_4,0,0,42,8,189,0,6,1,0,0,0,0,0,0,0,0,0,0,4,1
true_5,0,0,15,5,1,46,5,0,0,0,0,0,1,0,0,0,0,0,1,0
true_6,0,0,23,5,9,3,170,0,0,0,0,0,0,0,0,0,0,1,4,0
true_7,1,0,0,0,0,0,0,238,0,8,1,0,0,0,0,1,1,1,4,0
true_8,0,0,0,0,0,0,0,1,227,27,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,16,13,225,0,0,0,0,0,0,0,0,0,0
true_10,1,0,2,4,1,0,0,1,2,0,190,4,0,0,0,12,1,4,27,1
true_11,0,0,0,0,0,0,0,2,0,0,2,44,0,0,0,0,1,6,4,0
true_12,0,0,0,3,1,1,1,1,0,0,0,0,222,7,1,1,0,0,11,0
true_13,0,0,0,0,0,0,0,0,0,0,0,0,21,201,3,0,2,1,3,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,1,8,225,2,13,0,0,0
true_15,0,0,0,0,0,0,1,0,0,0,10,0,3,0,0,230,4,1,2,2
true_16,0,0,2,5,2,0,0,2,0,0,3,0,4,12,11,11,195,12,7,4
true_17,8,0,6,17,2,3,2,6,1,1,5,5,1,0,0,0,12,154,26,1
true_18,13,2,20,22,10,4,9,2,2,0,15,2,11,0,0,5,4,17,90,23
true_19,0,1,0,0,1,2,0,0,0,0,5,0,2,0,0,2,5,1,19,215
