,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,35,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
true_1,1,37,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,12,17,8,7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
true_3,0,8,4,34,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
true_4,0,0,5,1,41,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
true_5,0,2,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,1,0,5,2,1,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0
true_7,0,0,0,0,0,0,0,43,1,4,1,1,0,0,0,0,0,0,0,1
true_8,0,0,0,0,0,0,0,2,46,3,0,0,0,0,0,0,0,0,0,0
true_9,1,0,0,0,0,0,0,10,12,28,0,0,0,0,0,0,0,0,0,0
true_10,1,0,0,0,0,0,0,0,0,0,45,0,0,0,0,1,0,0,1,2
true_11,0,0,0,0,0,0,0,1,0,0,2,9,0,0,0,0,0,0,0,0
true_12,0,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,2,2
true_13,0,0,0,0,0,0,0,0,0,0,0,0,9,37,1,0,0,0,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,1,0,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,46,0,0,0,0
true_16,0,2,0,1,0,0,0,0,0,0,1,0,2,3,5,10,22,3,2,3
true_17,3,1,2,9,1,1,2,3,3,0,1,1,0,0,0,0,0,18,2,3
true_18,2,0,11,3,3,3,2,0,0,0,5,0,2,0,0,3,0,0,9,8
true_19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49
