,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,200,19,5,1,0,1,2,0,0,0,2,0,0,0,0,0,1,7,8,2
true_1,30,148,10,7,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
true_2,8,23,112,39,28,11,13,0,0,0,0,1,0,0,0,1,0,1,10,0
true_3,1,22,29,162,6,2,3,0,0,0,1,0,1,0,0,1,1,8,11,1
true_4,0,0,30,9,192,2,11,0,0,0,0,0,1,0,0,0,0,3,3,0
true_5,1,2,8,4,0,45,4,0,0,0,0,0,0,0,0,1,0,3,6,0
true_6,1,2,23,8,7,6,161,0,0,0,1,1,0,0,0,0,0,2,3,0
true_7,3,1,0,0,0,0,0,226,1,20,3,0,0,0,0,0,0,0,1,0
true_8,0,0,0,0,0,0,0,4,208,40,0,1,0,0,0,0,0,0,1,1
true_9,0,0,0,0,0,0,0,30,15,209,0,0,0,0,0,0,0,0,0,0
true_10,3,1,4,6,1,1,0,2,2,0,176,2,0,0,0,12,1,5,26,8
true_11,0,0,1,0,0,0,4,3,1,1,4,37,0,0,0,1,3,4,0,0
true_12,1,0,0,1,0,2,2,0,0,0,0,0,216,12,0,3,2,0,9,1
true_13,0,0,0,0,0,2,0,0,0,1,0,0,12,197,10,0,4,2,2,1
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,238,1,7,0,0,0
true_15,0,0,0,0,0,0,0,1,0,0,3,1,0,0,1,236,5,0,5,1
true_16,3,2,2,2,1,0,0,1,1,0,0,0,2,8,15,15,193,16,4,5
true_17,7,1,4,13,3,4,2,7,3,1,6,4,0,0,0,1,8,160,22,4
true_18,18,3,18,23,9,9,12,2,3,1,24,1,5,0,0,6,5,17,71,24
true_19,1,1,1,3,0,2,0,2,0,1,9,0,1,0,0,4,4,0,24,200
