,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,174,16,6,3,2,3,3,3,1,1,1,0,2,0,0,0,1,6,22,4
true_1,15,119,27,10,3,2,0,0,0,1,2,1,1,0,0,0,3,0,15,0
true_2,4,23,69,41,44,13,16,1,0,0,3,3,0,0,0,0,1,2,27,0
true_3,3,19,27,130,7,7,4,1,0,1,2,0,1,0,0,1,2,7,33,4
true_4,1,1,21,24,161,0,8,1,0,0,5,0,1,0,0,1,2,0,24,1
true_5,3,2,9,3,0,35,5,0,0,0,0,0,2,0,0,0,1,3,9,2
true_6,0,2,21,9,19,6,127,0,1,0,4,3,1,0,0,1,0,1,20,0
true_7,0,0,0,0,0,1,0,194,8,37,4,4,1,0,0,1,1,2,2,0
true_8,0,0,0,0,0,0,0,3,225,21,0,1,0,0,0,2,0,2,1,0
true_9,0,0,1,0,0,0,0,32,50,166,1,1,0,0,1,0,1,1,0,0
true_10,1,0,0,2,2,1,1,3,6,1,177,6,1,0,0,21,2,3,20,3
true_11,1,0,0,0,0,0,0,2,2,2,5,41,1,0,0,0,0,2,3,0
true_12,1,0,1,1,0,1,2,0,1,0,1,3,205,10,1,2,0,2,17,1
true_13,0,1,0,1,0,0,0,1,0,0,0,0,24,176,21,1,2,2,2,0
true_14,0,0,0,0,0,0,0,1,0,0,0,0,1,8,225,6,7,1,0,0
true_15,0,0,0,0,0,0,0,0,0,0,17,1,2,1,1,214,5,0,9,3
true_16,1,1,1,5,1,0,0,3,3,0,2,1,6,16,18,14,170,15,11,2
true_17,6,0,2,13,0,4,3,8,7,1,7,6,7,1,1,4,11,137,29,3
true_18,5,3,15,14,7,13,9,1,5,2,24,4,7,0,1,11,3,14,98,15
true_19,2,1,3,2,3,1,2,0,1,0,11,0,4,0,0,5,4,0,33,181
