,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,183,17,7,1,3,4,1,2,0,0,7,0,0,0,0,2,0,9,10,2
true_1,20,136,10,16,0,4,3,0,0,1,3,0,0,0,0,0,2,2,2,0
true_2,7,26,86,38,50,13,10,0,0,0,2,4,0,0,0,0,0,0,11,0
true_3,1,29,26,138,18,5,6,0,0,0,2,0,1,0,0,2,1,7,10,3
true_4,0,2,17,7,202,0,5,1,0,0,4,0,1,0,0,0,1,3,7,1
true_5,2,1,11,3,1,28,7,0,0,0,0,0,3,0,0,0,1,4,13,0
true_6,2,6,18,8,30,6,126,0,0,1,4,1,0,0,0,0,0,3,9,1
true_7,0,0,0,0,0,0,0,212,3,25,4,2,0,0,0,2,1,4,2,0
true_8,0,0,0,0,0,0,0,4,198,49,1,1,0,0,0,1,0,1,0,0
true_9,1,0,0,0,0,0,0,42,23,187,0,0,0,0,0,1,0,0,0,0
true_10,4,0,2,4,4,0,1,2,0,0,194,4,0,0,0,15,1,5,9,5
true_11,1,0,0,0,0,0,1,2,0,2,8,34,0,0,0,2,2,5,2,0
true_12,0,1,0,1,0,2,1,1,0,0,0,1,215,18,0,0,1,3,5,0
true_13,2,0,0,0,0,0,0,0,0,0,0,0,14,206,5,0,0,2,1,1
true_14,0,0,0,0,0,0,0,0,0,0,0,0,1,9,233,2,4,0,0,0
true_15,0,0,0,0,0,0,0,0,0,1,16,0,5,0,1,220,3,2,3,2
true_16,0,4,0,3,4,0,1,2,0,0,4,0,3,15,20,14,176,17,4,3
true_17,5,1,2,10,6,2,3,6,3,0,8,7,3,3,0,3,14,153,19,2
true_18,13,3,6,21,18,5,8,1,3,2,23,4,12,1,0,8,5,26,75,17
true_19,0,0,1,2,0,0,1,0,1,1,20,0,5,1,0,7,1,1,21,191
