,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,183,23,3,0,0,1,2,1,1,1,2,0,1,0,0,0,2,10,15,3
true_1,30,130,13,12,2,4,0,0,0,0,0,0,0,0,0,0,1,1,6,0
true_2,8,19,98,44,33,12,13,0,0,0,0,1,0,0,0,0,0,0,19,0
true_3,1,18,25,159,5,3,8,0,0,0,2,0,1,0,0,0,1,8,17,1
true_4,0,1,27,5,196,0,6,0,0,0,0,0,1,0,0,0,2,2,10,1
true_5,1,1,6,3,0,40,2,0,0,0,1,0,2,0,0,0,0,4,13,1
true_6,0,1,18,5,12,6,150,1,0,0,1,1,0,0,0,0,0,6,14,0
true_7,0,0,0,0,1,1,0,208,2,29,3,2,0,0,0,1,2,5,1,0
true_8,1,0,0,0,0,0,0,4,199,50,0,0,0,0,0,1,0,0,0,0
true_9,0,0,0,0,0,0,0,45,21,186,0,0,0,0,0,0,0,2,0,0
true_10,3,0,2,3,2,0,0,0,2,0,187,8,1,0,0,8,5,2,18,9
true_11,1,0,0,0,0,0,0,3,0,0,3,41,1,0,0,1,3,4,2,0
true_12,0,0,0,1,0,1,2,0,0,0,0,1,228,7,0,1,2,1,5,0
true_13,0,0,0,0,0,0,0,1,0,0,0,0,19,204,2,0,2,2,1,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,1,6,225,5,12,0,0,0
true_15,0,0,0,0,0,0,0,0,0,1,20,1,6,0,1,209,7,5,2,1
true_16,1,4,1,4,1,1,0,2,1,0,2,0,5,13,13,13,183,17,7,2
true_17,10,2,1,14,3,4,4,6,2,0,3,5,2,0,0,2,18,145,28,1
true_18,14,1,10,15,10,10,7,5,2,0,14,3,13,1,0,4,3,16,102,21
true_19,0,0,1,2,1,0,0,0,0,0,8,1,3,0,0,5,2,2,28,200
