,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,191,19,3,2,1,1,0,1,0,1,1,1,1,0,0,1,1,10,10,4
true_1,26,142,9,11,1,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1
true_2,4,34,83,45,34,9,14,0,0,0,4,0,2,0,0,0,2,0,16,0
true_3,1,19,26,154,7,0,3,0,0,0,2,0,3,0,0,1,3,9,19,2
true_4,0,1,26,10,191,0,6,0,0,0,2,0,0,0,0,0,3,4,8,0
true_5,2,2,6,3,0,37,5,0,0,0,0,1,3,0,0,0,0,3,12,0
true_6,3,4,21,6,12,7,143,0,0,0,0,3,0,0,0,0,0,8,8,0
true_7,0,0,0,0,0,0,0,219,1,22,2,1,0,0,0,1,3,6,0,0
true_8,1,0,0,0,0,0,0,7,205,38,0,0,0,0,0,1,0,2,0,1
true_9,0,0,0,0,0,0,0,44,18,190,1,0,0,0,0,0,0,1,0,0
true_10,3,1,2,6,1,0,0,1,0,1,166,5,0,0,0,12,1,11,30,10
true_11,0,0,0,0,0,0,1,4,1,1,4,35,1,0,0,2,3,7,0,0
true_12,0,0,1,0,1,2,0,0,0,0,0,1,224,11,0,2,2,3,2,0
true_13,0,0,0,0,0,2,0,0,0,0,0,0,17,201,3,0,6,0,2,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,1,10,224,3,11,0,0,0
true_15,0,0,0,0,0,0,1,0,0,0,9,0,4,0,1,221,7,5,2,3
true_16,2,3,1,3,2,1,0,0,1,0,1,0,6,11,19,10,185,18,3,4
true_17,9,2,3,11,6,3,4,5,1,2,5,6,2,0,0,1,14,150,24,2
true_18,8,9,13,16,10,5,8,4,2,1,15,2,10,2,0,8,7,30,73,28
true_19,3,0,0,3,1,1,1,1,0,0,3,0,3,1,0,0,8,3,18,207
