,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,43,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
true_1,12,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
true_2,1,14,19,3,6,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0
true_3,4,18,5,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
true_4,0,1,5,2,38,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
true_5,3,4,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_6,6,6,5,0,2,6,14,0,0,1,0,0,0,0,0,0,0,0,3,0
true_7,2,0,0,0,0,0,0,44,0,4,0,0,0,0,0,1,0,0,0,0
true_8,1,0,0,0,0,0,0,1,35,14,0,0,0,0,0,0,0,0,0,0
true_9,0,0,0,0,0,0,0,11,4,36,0,0,0,0,0,0,0,0,0,0
true_10,0,2,0,0,0,0,0,0,0,0,34,1,0,0,0,5,0,0,8,0
true_11,1,0,1,0,0,0,0,1,0,0,1,6,0,0,0,0,0,1,1,0
true_12,1,0,0,0,0,1,0,0,0,0,0,1,43,0,0,0,0,0,4,0
true_13,1,0,0,0,0,0,0,0,0,0,0,0,9,34,2,0,0,0,1,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,4,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,42,2,0,2,0
true_16,0,2,0,0,1,0,0,0,0,0,0,0,4,3,2,2,33,5,2,0
true_17,4,2,2,6,1,0,0,2,0,1,0,1,1,0,0,1,5,19,5,0
true_18,5,0,5,6,5,3,0,0,0,1,3,0,4,0,0,1,1,0,14,3
true_19,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,5,0,0,5,34
