,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,137,32,8,4,6,5,1,9,2,1,7,2,4,0,0,7,1,12,9,1
true_1,27,89,24,23,6,5,6,0,1,1,2,1,0,0,1,1,3,1,6,2
true_2,7,30,59,48,39,7,21,1,0,0,6,1,1,1,1,4,2,4,10,5
true_3,4,26,35,85,34,4,9,0,0,1,7,0,2,0,1,5,6,11,12,7
true_4,3,10,16,28,140,1,8,1,0,0,10,0,3,0,0,2,2,9,13,5
true_5,8,4,8,8,0,11,8,0,0,1,4,2,3,1,0,1,2,3,8,2
true_6,8,7,18,15,30,3,94,1,1,2,6,1,0,1,0,6,1,10,8,3
true_7,6,0,0,1,2,0,1,141,7,68,3,1,2,1,0,5,4,10,2,1
true_8,1,0,0,0,0,0,0,10,188,48,2,1,0,0,0,1,2,0,1,1
true_9,0,0,1,0,0,0,4,34,38,171,1,1,0,0,0,0,0,2,1,1
true_10,3,2,3,2,6,1,2,3,3,0,161,1,2,0,0,31,2,9,10,9
true_11,1,0,2,0,1,2,1,2,2,3,13,7,1,0,0,4,5,14,1,0
true_12,1,0,1,2,1,3,1,0,1,1,2,0,205,13,0,9,3,1,3,2
true_13,1,0,0,0,0,0,0,0,0,1,0,0,27,169,18,0,12,1,2,0
true_14,2,0,0,0,0,0,0,0,0,0,0,0,0,11,211,3,21,0,1,0
true_15,2,0,1,0,0,0,0,0,1,1,25,3,9,3,3,181,4,5,4,11
true_16,2,5,1,5,5,2,0,2,3,5,5,0,6,22,33,24,124,14,4,8
true_17,8,3,1,12,10,6,10,5,5,7,20,6,0,2,0,9,27,99,16,4
true_18,11,3,18,15,19,7,14,6,2,0,28,2,10,1,1,16,14,14,45,25
true_19,1,1,1,3,1,0,2,1,0,0,15,0,6,0,0,14,2,3,18,185
