,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,43,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0
true_1,10,25,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
true_2,3,9,17,2,9,1,5,0,0,0,0,0,1,0,0,0,0,0,2,0
true_3,1,13,9,7,3,1,6,1,0,1,0,0,0,0,0,0,0,3,4,0
true_4,1,0,5,0,39,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0
true_5,2,2,1,1,0,3,1,0,0,0,1,0,1,0,0,0,0,2,1,0
true_6,1,0,4,0,1,2,30,0,1,0,0,1,0,0,0,0,0,2,1,0
true_7,2,0,0,0,0,0,0,44,1,1,0,1,0,0,0,1,1,0,0,0
true_8,0,0,0,0,0,0,0,0,47,3,0,0,1,0,0,0,0,0,0,0
true_9,1,0,0,0,0,0,0,8,18,24,0,0,0,0,0,0,0,0,0,0
true_10,3,0,0,0,0,0,0,0,0,0,42,0,1,0,0,1,0,2,1,0
true_11,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,1,0,0
true_12,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,0,1,0
true_13,0,0,0,0,0,0,0,0,0,0,0,0,11,34,0,0,2,0,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,7,0,0,0
true_15,0,0,0,0,0,0,1,0,0,0,9,0,1,0,1,34,3,0,1,0
true_16,0,4,0,1,1,0,0,0,2,0,2,0,3,1,0,1,35,3,1,0
true_17,1,0,0,1,3,1,0,3,2,0,0,3,3,0,0,1,3,24,3,2
true_18,0,0,2,2,4,0,2,0,2,0,6,0,5,0,0,0,1,8,16,3
true_19,0,0,0,0,2,0,0,0,1,0,6,0,6,0,0,3,2,0,1,30
