,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,41,1,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0
true_1,4,23,3,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
true_2,0,9,8,15,9,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
true_3,1,2,2,41,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
true_4,0,0,5,4,36,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1
true_5,0,0,0,2,0,10,0,0,0,0,1,1,1,0,0,0,0,0,0,0
true_6,1,0,8,8,3,5,14,0,0,0,0,4,0,0,0,0,0,0,0,0
true_7,3,1,0,0,0,0,0,39,0,1,0,6,0,0,0,1,0,0,0,0
true_8,0,0,0,0,0,0,0,1,36,9,0,3,0,0,0,0,1,0,1,0
true_9,0,0,0,0,0,0,0,11,4,35,0,1,0,0,0,0,0,0,0,0
true_10,0,0,0,0,0,0,0,0,0,0,35,3,0,0,0,10,0,0,2,0
true_11,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,0
true_12,1,0,0,0,0,0,1,0,0,0,0,2,40,1,0,2,1,0,2,0
true_13,0,0,0,0,0,1,0,0,0,0,0,0,6,38,1,1,0,0,0,0
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,1,5,0,0,0
true_15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,46,1,0,1,0
true_16,0,1,0,2,2,5,0,0,0,0,1,1,2,2,0,3,29,5,0,1
true_17,3,0,0,11,3,2,0,4,0,0,1,3,1,0,0,1,5,11,3,2
true_18,0,0,0,12,7,8,0,0,0,0,7,0,2,0,1,2,0,2,6,4
true_19,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,3,0,0,2,41
