,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19
true_0,176,20,10,3,0,5,4,3,0,0,2,0,0,0,0,3,4,9,8,1
true_1,22,110,26,28,0,4,0,0,0,0,0,0,0,0,0,0,7,1,1,0
true_2,8,21,89,69,24,11,14,1,0,0,1,0,0,0,0,1,1,0,7,0
true_3,4,15,31,164,3,3,7,1,0,0,1,1,0,0,0,2,1,7,8,1
true_4,0,1,31,17,166,1,16,0,0,0,3,0,1,0,0,1,0,7,6,1
true_5,4,2,21,4,1,23,4,0,0,0,0,0,2,0,0,0,1,5,7,0
true_6,4,2,22,19,14,7,129,0,0,0,2,1,0,0,0,0,0,7,8,0
true_7,3,0,0,1,0,0,0,199,0,29,5,2,0,0,0,3,2,10,1,0
true_8,0,0,0,0,0,0,0,4,194,52,0,1,0,0,0,1,1,0,1,1
true_9,1,0,0,0,0,0,1,49,48,150,0,0,0,0,0,2,0,3,0,0
true_10,7,1,3,10,1,1,0,2,1,1,163,11,0,0,0,24,3,8,12,2
true_11,1,0,1,0,0,1,1,6,0,0,2,31,0,0,0,2,4,8,2,0
true_12,1,0,1,2,1,1,1,1,0,0,0,2,216,11,1,1,4,3,3,0
true_13,1,0,0,0,0,0,0,0,0,0,0,0,23,188,12,0,2,1,3,1
true_14,0,0,0,0,0,0,0,0,0,0,0,0,0,11,225,2,11,0,0,0
true_15,0,0,0,0,0,1,0,0,0,0,13,1,5,0,3,215,9,1,3,2
true_16,3,1,2,3,2,2,1,1,1,0,6,4,4,12,27,12,174,10,2,3
true_17,7,1,1,20,1,12,3,9,3,0,7,13,1,1,1,5,19,127,17,2
true_18,14,2,17,30,8,11,15,4,3,0,19,10,7,0,0,5,13,15,59,19
true_19,2,0,2,7,3,0,1,1,1,0,18,0,3,0,0,8,4,2,17,184
