source_dataset,split_role,item_id,image_id_ext,image,result,label,ratio,consensus_band,item_total_images,item_disputed_images,item_low_consensus_images,class_samples,class_median_ratio,class_disputed_share,class_low_consensus_share
train_df,train_pool,1301275250387,14256404802,http://labelimages.avito.ru/14256404802.jpg,18,не могу дать ответ / не ясно,0.600000,low,3,3,3,251,0.666667,0.733068,0.733068
train_df,train_pool,1301345000778,14257170087,http://labelimages.avito.ru/14257170087.jpg,18,не могу дать ответ / не ясно,0.600000,low,4,4,3,251,0.666667,0.733068,0.733068
train_df,train_pool,1301345000778,14257090706,http://labelimages.avito.ru/14257090706.jpg,1,кухня-гостиная,0.600000,low,4,4,3,215,0.666667,0.604651,0.604651
val_df,shadow_holdout,1301198000137,14253787813,http://labelimages.avito.ru/14253787813.jpg,1,кухня-гостиная,0.600000,low,2,2,1,215,0.666667,0.604651,0.604651
train_df,train_pool,1301275250387,14256404833,http://labelimages.avito.ru/14256404833.jpg,17,предметы интерьера / быт.техника,0.600000,low,3,3,3,277,0.666667,0.534296,0.527076
train_df,train_pool,1301275250387,14256404845,http://labelimages.avito.ru/14256404845.jpg,17,предметы интерьера / быт.техника,0.600000,low,3,3,3,277,0.666667,0.534296,0.527076
train_df,train_pool,1301345000778,14256971698,http://labelimages.avito.ru/14256971698.jpg,17,предметы интерьера / быт.техника,0.600000,low,4,4,3,277,0.666667,0.534296,0.527076
train_df,train_pool,1303098753382,14297607150,http://labelimages.avito.ru/14297607150.jpg,18,не могу дать ответ / не ясно,0.666667,low,5,3,3,251,0.666667,0.733068,0.733068
train_df,train_pool,1304426250366,14315704244,http://labelimages.avito.ru/14315704244.jpg,18,не могу дать ответ / не ясно,0.666667,low,6,3,3,251,0.666667,0.733068,0.733068
train_df,train_pool,1308251250126,14396995001,http://labelimages.avito.ru/14396995001.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1308251250126,14397009842,http://labelimages.avito.ru/14397009842.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1309832001391,14474573742,http://labelimages.avito.ru/14474573742.jpg,18,не могу дать ответ / не ясно,0.666667,low,4,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1310019250088,14480226258,http://labelimages.avito.ru/14480226258.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1310019250088,14480226365,http://labelimages.avito.ru/14480226365.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1310183250463,14484912602,http://labelimages.avito.ru/14484912602.jpg,18,не могу дать ответ / не ясно,0.666667,low,3,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1310102500333,14493043219,http://labelimages.avito.ru/14493043219.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1358280752551,15593515484,http://labelimages.avito.ru/15593515484.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,2,2,251,0.666667,0.733068,0.733068
train_df,train_pool,1099873000397,11588941366,http://labelimages.avito.ru/11588941366.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1185793500795,12439359071,http://labelimages.avito.ru/12439359071.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1184194500063,12542820141,http://labelimages.avito.ru/12542820141.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1191215000025,12592906243,http://labelimages.avito.ru/12592906243.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1207791250344,12783570789,http://labelimages.avito.ru/12783570789.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1301752750585,14073555116,http://labelimages.avito.ru/14073555116.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1292783000360,14125352182,http://labelimages.avito.ru/14125352182.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1293922500764,14207852788,http://labelimages.avito.ru/14207852788.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1353033000028,14279279926,http://labelimages.avito.ru/14279279926.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1303197750244,14330061421,http://labelimages.avito.ru/14330061421.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1305912000520,14348928863,http://labelimages.avito.ru/14348928863.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1306776500560,14356754568,http://labelimages.avito.ru/14356754568.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1370432251201,14375430722,http://labelimages.avito.ru/14375430722.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1289459750305,14388945174,http://labelimages.avito.ru/14388945174.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1305805000939,14412785320,http://labelimages.avito.ru/14412785320.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1308598750370,14415283463,http://labelimages.avito.ru/14415283463.jpg,18,не могу дать ответ / не ясно,0.666667,low,3,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1308663750349,14419765842,http://labelimages.avito.ru/14419765842.jpg,18,не могу дать ответ / не ясно,0.666667,low,2,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1344111751998,14420295040,http://labelimages.avito.ru/14420295040.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
train_df,train_pool,1306500500021,14420316289,http://labelimages.avito.ru/14420316289.jpg,18,не могу дать ответ / не ясно,0.666667,low,1,1,1,251,0.666667,0.733068,0.733068
